,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Region,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
112042,32563837,01/30/2016 02:44:39 AM,02/01/2016 05:19:25 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10462,2074 WALLACE AVENUE,WALLACE AVENUE,,,,,ADDRESS,BRONX,,Closed,,The complaint you filed is a duplicate of a condition already ,,,,,,,,,,,,,,,,,,,,,,,,,,
97820,32586531,02/02/2016 08:16:27 AM,02/08/2016 09:19:07 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Park,10451,,,,,,,,BRONX,,Closed,02/09/2016 08:16:27 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/08/2016 09:19:07 AM,01 BRONX,BRONX,,,Patterson Playground,BRONX,,BRONX,NY,10451,N,,,,,,,,,,,,,,
9197,32691957,02/15/2016 10:01:29 PM,,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,10314,,,,,,,,STATEN ISLAND,,Assigned,02/29/2016 10:01:29 PM,The Department of Parks and Recreation usually requires 14 days to respond to this type of complaint. Please note your Service Request number for future reference.,,02 STATEN ISLAND,STATEN ISLAND,,,Fresh Kills Park,STATEN ISLAND,,STATEN ISLAND,NY,10314,N,,,,,,,,,,,,,,
98039,32584643,02/02/2016 07:23:08 AM,02/04/2016 10:09:02 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Park,10463,,,,,,,,BRONX,,Closed,02/09/2016 07:23:08 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/04/2016 10:09:02 AM,08 BRONX,BRONX,,,Spuyten Duyvil Shorefront Park and Half Moon Overlook,BRONX,,BRONX,NY,10463,N,,,,,,,,,,,,,,
84724,32599962,02/04/2016 10:49:13 AM,02/04/2016 11:03:51 AM,DPR,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,11105,,,,,,,,ASTORIA,,Closed,02/18/2016 10:49:13 AM,The injured person has been transported to a hospital.,02/04/2016 11:03:51 AM,01 QUEENS,QUEENS,,,Astoria Park,QUEENS,,ASTORIA,NY,11105,,,,,,,,,,,,,,,
92608,32589509,02/02/2016 11:41:12 PM,02/03/2016 05:37:36 PM,DPR,Department of Parks and Recreation,Animal in a Park,Injured Wildlife,Park,,,,,,,,,QUEENS,,Closed,02/07/2016 11:41:12 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/03/2016 05:37:36 PM,0 Unspecified,Unspecified,,,Alley Pond Park - Nature Center,Unspecified,,QUEENS,NY,,N,,,,,,,,,,,,,,
84988,32605702,02/04/2016 10:12:31 AM,02/05/2016 09:58:36 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Graffiti or Vandalism,Park,10026,,,,,,,,NEW YORK,,Closed,02/07/2016 10:12:31 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/05/2016 09:58:36 AM,09 MANHATTAN,MANHATTAN,,,Morningside Park,MANHATTAN,,NEW YORK,NY,10026,,,,,,,,,,,,,,,
97764,32585431,02/02/2016 08:27:03 AM,02/11/2016 08:54:46 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Graffiti or Vandalism,Park,10471,,,,,,,,BRONX,,Closed,02/05/2016 08:27:03 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/11/2016 08:54:46 AM,08 BRONX,BRONX,,,Seton Park,BRONX,,BRONX,NY,10471,N,,,,,,,,,,,,,,
21059,32677261,02/14/2016 01:09:50 PM,,DPR,Department of Parks and Recreation,Maintenance or Facility,Graffiti or Vandalism,Park,11355,,,,,,,,FLUSHING,,Assigned,02/17/2016 01:09:50 PM,The Department of Parks and Recreation usually requires 3 days to respond to this type of complaint. Please note your Service Request number for future reference.,,07 QUEENS,QUEENS,,,Captain Mario Fajardo Park,QUEENS,,FLUSHING,NY,11355,,,,,,,,,,,,,,,
84946,32600863,02/04/2016 10:17:43 AM,02/05/2016 10:00:54 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,10023,,,,,,,,NEW YORK,,Closed,02/18/2016 10:17:43 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/05/2016 10:00:54 AM,07 MANHATTAN,MANHATTAN,,,Riverside Park - Skate Park,MANHATTAN,,NEW YORK,NY,10023,N,,,,,,,,,,,,,,
